Métrica,Valor,Unidade
Impressões dos Anúncios,62348630.0,
Visitantes no site,1421300.0,
Cliques no Anúncio,522108.0,
Leads Captados pelo Tráfego Pago,346.0,
Leads Cadastrados no CRM,2158.0,
Leads Convertidos,499.0,
Leads Perdidos,1659.0,
Taxa de Conversão Leads → Clientes,23.12,%
Custo Total de Tráfego Pago,1392814.1,R$
Custo por Aquisição de Lead (CPA),4025.47,R$
Taxa de Conversão Visitantes → Leads,0.15,%
Taxa de Conversão Visitantes → Clientes,0.04,%
Receita Total,9735383.85,R$
Lucro Líquido,8342569.75,R$
Margem Líquida,85.69,%
Retorno sobre Investimento em Ads (ROAS),698.97,%
Tempo Médio para Conversão,9.0,dias
Ticket Médio por Cliente,19509.79,R$
Life Time Value (LTV),19509.79,R$
Leads Ativos para Follow-up,1530.0,
Leads que não retornaram contato,1304.0,
Leads perdidos por preço alto,136.0,
Leads que vão deixar para outro momento,90.0,
Clientes estimados com +1 vendedor,33.0,
Receita estimada adicional com +1 vendedor,643000.0,R$
