Métrica,Valor Numérico
Impressões (Ads),62348630.0
Visitantes no site,1421300.0
Cliques nos Anúncios,522108.0
Leads Captados (Tráfego Pago),346.0
Leads Cadastrados no CRM,2158.0
Leads Convertidos,499.0
Leads Perdidos,1659.0
Taxa de Conversão Leads → Clientes (%),23.12
Taxa de Conversão Visitantes → Leads (%),0.15
Taxa de Conversão Visitantes → Clientes (%),0.04
Custo de Tráfego Pago (R$),1392814.1
Custo por Aquisição (CPA) (R$),4025.47
ROAS (%),698.97
Receita Total (R$),9735383.85
Lucro Líquido (R$),8342569.75
Margem Líquida (%),85.69
Ticket Médio (R$),19509.79
LTV (R$),19509.79
Tempo Médio para Conversão (dias),9.0
Leads Ativos para Follow-up,1530.0
